loss,n,num_matching_runs,num_positive_runs,min_positive_d,positive_ds
sigmoid,20,26,25,6,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,40,26,24,7,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,60,26,24,7,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,80,26,23,8,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,100,26,23,8,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,120,26,22,9,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,140,26,22,9,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,160,26,22,9,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,180,26,22,9,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,200,26,22,9,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,220,26,21,10,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
sigmoid,240,26,21,10,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
infonce,20,26,21,10,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
infonce,40,26,17,14,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
infonce,60,26,12,19,19 20 21 22 23 24 25 26 27 28 29 30
infonce,80,26,9,22,22 23 24 25 26 27 28 29 30
infonce,100,26,7,23,23 25 26 27 28 29 30
infonce,120,26,5,26,26 27 28 29 30
infonce,140,26,3,28,28 29 30
infonce,160,26,2,28,28 30
infonce,180,26,2,29,29 30
infonce,200,26,1,30,30
infonce,220,26,0,,
infonce,240,26,0,,
